lon	lat	depth	m_l	err_abs	err_avgrel	area
#						
#	Joint	Pamir-Hindu	Kush	earthquake	catalog	for
#	obtained	from	the	TIPAGE/FERGHANA/TIPTIMON	networks	
#	(Mechie	et	al.,	2012/Feld	et	al.,
#	between	2012-14	&	2008-10.		
#						
#	Pamir	events	are	mainly	relocated	from
#						
#	See	Kufner	et.	al.	2016	for
#	-	absError(km)	--	absolute	location	error
#	-	AveragedRelativeError (km)	--	averaged	relative	location
#	-	the	separation	in	deepPamir	and
#						
#	longitude(deg)	latitude(deg)	depth(km)	local_magnitude	absError(km)	AveragedRelativeError(km)
70.900	36.258	83.21	3.3	2.8	1.9	deepHinduKush
71.265	36.476	83.31	3.4	2.4	1.9	deepHinduKush
70.419	36.340	83.33	3.1	8.7	-	deepHinduKush
70.570	36.024	83.34	3.3	3.7	1.9	deepHinduKush
71.124	36.237	83.36	3.0	6.2	1.9	deepHinduKush
70.866	36.275	83.38	3.0	6.8	1.9	deepHinduKush
70.461	35.956	83.42	4.0	2.9	1.9	deepHinduKush
70.612	36.063	83.50	3.0	4.5	1.9	deepHinduKush
71.321	36.529	83.53	2.4	3.5	1.9	deepHinduKush
70.828	36.029	83.54	3.2	13.7	-	deepHinduKush
70.911	36.100	83.60	3.5	3.1	1.9	deepHinduKush
70.612	36.133	83.63	3.0	4.5	1.9	deepHinduKush
70.684	36.225	83.65	3.2	3.1	1.9	deepHinduKush
71.192	36.473	83.71	2.8	6.2	1.9	deepHinduKush
